"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"210","5-min_6-DMSO","CD",3,"J24","well1","C5","384_Master","Master_Library_DWPlate",30
"211","6-DMSO_1-max","CD",3,"C14","well1","C6","384_Master","Master_Library_DWPlate",30
"212","6-DMSO_2","CD",3,"P11","well1","C6","384_Master","Master_Library_DWPlate",30
"213","6-DMSO_3","CD",3,"M15","well1","C6","384_Master","Master_Library_DWPlate",30
"214","6-DMSO_4","CD",3,"K08","well1","C6","384_Master","Master_Library_DWPlate",30
"215","6-DMSO_5-min","CD",3,"E10","well1","C6","384_Master","Master_Library_DWPlate",30
"216","6-DMSO_6-DMSO","CD",3,"M23","well1","C6","384_Master","Master_Library_DWPlate",30
"217","1-max_1-max","EF",1,"P03","well1","E1","384_Master","Master_Library_DWPlate",30
"218","1-max_2","EF",1,"O19","well1","E1","384_Master","Master_Library_DWPlate",30
"219","1-max_3","EF",1,"B24","well1","E1","384_Master","Master_Library_DWPlate",30
"220","1-max_4","EF",1,"E23","well1","E1","384_Master","Master_Library_DWPlate",30
"221","1-max_5-min","EF",1,"C19","well1","E1","384_Master","Master_Library_DWPlate",30
"222","1-max_6-DMSO","EF",1,"K06","well1","E1","384_Master","Master_Library_DWPlate",30
"223","2_1-max","EF",1,"K07","well1","E2","384_Master","Master_Library_DWPlate",30
"224","2_2","EF",1,"H22","well1","E2","384_Master","Master_Library_DWPlate",30
"225","2_3","EF",1,"J20","well1","E2","384_Master","Master_Library_DWPlate",30
"226","2_4","EF",1,"G19","well1","E2","384_Master","Master_Library_DWPlate",30
"227","2_5-min","EF",1,"K18","well1","E2","384_Master","Master_Library_DWPlate",30
"228","2_6-DMSO","EF",1,"D18","well1","E2","384_Master","Master_Library_DWPlate",30
"229","3_1-max","EF",1,"E22","well1","E3","384_Master","Master_Library_DWPlate",30
"230","3_2","EF",1,"B22","well1","E3","384_Master","Master_Library_DWPlate",30
"231","3_3","EF",1,"M12","well1","E3","384_Master","Master_Library_DWPlate",30
"232","3_4","EF",1,"O21","well1","E3","384_Master","Master_Library_DWPlate",30
"233","3_5-min","EF",1,"O11","well1","E3","384_Master","Master_Library_DWPlate",30
"234","3_6-DMSO","EF",1,"O04","well1","E3","384_Master","Master_Library_DWPlate",30
"235","4_1-max","EF",1,"B21","well1","E4","384_Master","Master_Library_DWPlate",30
"236","4_2","EF",1,"A01","well1","E4","384_Master","Master_Library_DWPlate",30
"237","4_3","EF",1,"D17","well1","E4","384_Master","Master_Library_DWPlate",30
"238","4_4","EF",1,"G24","well1","E4","384_Master","Master_Library_DWPlate",30
"239","4_5-min","EF",1,"J10","well1","E4","384_Master","Master_Library_DWPlate",30
"240","4_6-DMSO","EF",1,"H18","well1","E4","384_Master","Master_Library_DWPlate",30
"241","5-min_1-max","EF",1,"F12","well1","E5","384_Master","Master_Library_DWPlate",30
"242","5-min_2","EF",1,"K20","well1","E5","384_Master","Master_Library_DWPlate",30
"243","5-min_3","EF",1,"K13","well1","E5","384_Master","Master_Library_DWPlate",30
"244","5-min_4","EF",1,"G21","well1","E5","384_Master","Master_Library_DWPlate",30
"245","5-min_5-min","EF",1,"P10","well1","E5","384_Master","Master_Library_DWPlate",30
"246","5-min_6-DMSO","EF",1,"E16","well1","E5","384_Master","Master_Library_DWPlate",30
"247","6-DMSO_1-max","EF",1,"G15","well1","E6","384_Master","Master_Library_DWPlate",30
"248","6-DMSO_2","EF",1,"J13","well1","E6","384_Master","Master_Library_DWPlate",30
